review_text,rating,review_date
maaf kk semua player sekalu afk terus dan saya selalu kalah tolong kasih player pro please,1,2025-06-25 17:20:47
DARK SYSTEM SEMUA ISINYA,1,2025-06-25 17:20:44
kurangin dark sistem nya,5,2025-06-25 17:20:31
"apalah ini game jaringan bagus, udah pake wifi tetep aja nge lag hadeh",1,2025-06-25 17:20:21
nontonn ajing buat meta line banyak drak sistem babi buat males main ajing,1,2025-06-25 17:19:11
woi pemilihan lane otomatis tolong hilangin babi buat susah ajah orng ga bisa jdi beban di tim,1,2025-06-25 17:19:02
gemburik mentingin diri sendiri gak mentingin pelayer solo,1,2025-06-25 17:17:41
👏👏,5,2025-06-25 17:17:33
sistem baru pilih Lane sangat meresahkan jadi ga bagus tetep aja uda update gitu bukan makin bagus malah makin ngaco,1,2025-06-25 17:16:30
parat moonton hp gw lowbet gak bisa login lagi lelet gak penuh terus afk digame ajng tolong di perbaiki,1,2025-06-25 17:14:29
"GK layak di mainin banyak dark sistemnya udh main serius malah makin banyak dark system,benerin ini gamenya gjls begini",1,2025-06-25 17:12:39
"apus itu fitur pilihan Lane, gw mo mm gbs mlu ajg",1,2025-06-25 17:11:42
game apaan banyak drag sistem nya monton lol,1,2025-06-25 17:11:05
making line lu bikin sial moonton hps saja gak ada gunanya dapat boot trs bikin kalah Mulu taik lah sirik amat solo rank d bikin susah anjing,2,2025-06-25 17:10:59
game burikkk,1,2025-06-25 17:10:24
game gak jelas udh enak yang dulu gak usah milih lane segala sekarang di rubah rubah,1,2025-06-25 17:10:04
"woi moonton, gua dpt tim legend semua, lu kasih tim musuh mantan imo, mana keadilan nya, gua pngen ngomong kasar tapi takut dosa",1,2025-06-25 17:09:22
woee moonton su. lu pake adgoritma apa di rol mm suu. ge pilih rol good line ngk pernah di kasih azu,1,2025-06-25 17:08:38
GAME TOLOLL aneh,1,2025-06-25 17:07:39
"updatenya lucu,dan nemu tim pas solo juga lucu",1,2025-06-25 17:05:31
"gua main ML dari season 18 ampe skarang tapi season baru (Zeitan) bikin gamood kembalikan patch season kemarin moonton saya tidak suka dengan season sekarang ZEITAN mode rank, karana kita jago di role tersebut malah ganti ke rolen yg belum dikuasai dan saling ego role, ketemu dark sistem untuk season sekarang vakum Mobile Legend dulu,",1,2025-06-25 17:05:10
kontoI,1,2025-06-25 17:04:54
"sistem apaan si ini masa main tiap hari ga ada nambah nya,malah kurang lagi,ayo dong montoon aku pengen mythic ton montoon ojo di kek i badokan itel terus ws wegah aku pedot ki sowi2 kenek sistem em seng kyk ngene ki",1,2025-06-25 17:04:37
"se enggak nya kasih tim yg setara sama musuh nya, ga adil banget buat yg solo, duo, trio, dapet tim yg ga jelas, tolong moonton kalo kasih kalah gpp, se enggak nya dapet tim yg jelas, jangan anomali mulu",1,2025-06-25 17:04:30
momton Yamin GK punya bapack masak aku di kasihh kalah terusss game harammm Acong sundel,1,2025-06-25 17:03:48
"Penambahan fitur ga jelasssss,,",1,2025-06-25 17:03:43
"ga seru!!!, banyak bug nya, masa udh download fitur masih aja nge bug di pertandingan, hero nya susah dikendalikan!!!, berujung afk karena nge bug!!!, please lah di perbaikannya bug nya, padahal udah ngelapor hasil nya tetap NIHIL!!!, jaringan juga bagus padahal, DARK SYSTEM GA NGOTAK",1,2025-06-25 17:03:25
"makin update makin nyusahin anjirtt...baru kali ini update udh gede nyusahin pula matchnya..baru hari ini gua uninstal app lu karna perubahan yg fatal..percuma di perbaiki tpi buat org jdi stress,,",2,2025-06-25 17:03:09
"game ga jelas, developer nya kalo ngasih tim ga imbang bgt, pilih kasih, temen kita bot tim lawan kek pro player. GAME GA REKOMENDET",1,2025-06-25 17:03:05
makin lama makin gajelas ini game makin kayak taik game haram,1,2025-06-25 17:02:29
semenjak ada fitur pilih lane jadi GK bisa pilih lane kesukaan saya,1,2025-06-25 17:02:09
moonton anj,4,2025-06-25 17:01:39
mohon kepada moonton hapus kan player player draksistem yg GK layak untuk main dan ban aj akun nya jika ngetrol.,3,2025-06-25 17:01:31
gua suka game ini karna game ini bagus buat ketenngan saya pas ga ad teman???,5,2025-06-25 17:01:16
"Kodisii pelayer mlbb sekarangg :disaatt kitaa warr tiba""ngeled gakk tauu kenapaa tolongglah montonn dii perbaikii sinyalnyaa padahall jaringann kitaa bagusss .manaa lagii pass pencet sinyall di dekett map ituu keliarr notip kayak gini jaringann bagusss pingg waaalaaaa pening bangett palagueee .........ituu😢😢😢",5,2025-06-25 17:01:16
"game busuk, sinyal bagus, Ping naik turun Mau bangkrut kali ya",1,2025-06-25 17:00:31
sangat bagus sekali yang wkwk,5,2025-06-25 17:00:19
"game nya seruu, tapi kenapa ini stuk di loading ml yaa",3,2025-06-25 16:58:22
update terbaru sangat tidak ramah buat solo player.... benci sistem bgni!!,1,2025-06-25 16:56:39
gamenya seru banget,5,2025-06-25 16:56:05
enakan yg dulu masak pilih gold line g pernah bisa,1,2025-06-25 16:56:04
"rank auto line bikin males main.. pilih satu line gak bisa, harus dua.. dikasih line yg bukan rolenya player.. klo masih begini, yaa sudahlah unistall aja drpd main jadi kalah terus",2,2025-06-25 16:55:26
MEMEKK LUU ANJJIINGGG UPDATE KONTOLLL MASIH AJAA DAPET TIM KAYAK ANJINGGG KAGA NGERTI DRAFT KONTOLLLL MEMEMKKKK,1,2025-06-25 16:54:35
gajelas ping bagus tpi ngelek,1,2025-06-25 16:54:00
GOOD GAME GAME PERPECT,5,2025-06-25 16:53:11
hilangin sistem pemilihan role ketika berada di Lobby seperti sebelumnya.,1,2025-06-25 16:52:41
game kebanyakan dark sistem bocil gabisa main stress gw lama lama main ini game cape push rank terus terusan ketemunya dark sistem dan bocil bintang turun dari glory 80 ke 60 stress ketemu dark sistem,1,2025-06-25 16:51:32
"kalo gak sampai mythic dalam 5 hari, gw hapus ni game",1,2025-06-25 16:51:08
hapus pilihan lane,2,2025-06-25 16:49:54
"sumpah ni game burik banget masa gua sebentar lagi mau menang malah dikasih kalah terus sering dikasih tim dark sistem tiba tiba lag padahal jaringan bagus. dibandingkan game lain ini jauh banget sih ,gua cuma kasih saran ciptain lingkungan yang adil kan mlbb udah bilang mau nyiptain lingkungan yg adil tapi tetep aja gada bedanya berarti bohong dong andai kalau bukan karna gabut ga akan gua mainin",1,2025-06-25 16:49:05
bagus,5,2025-06-25 16:48:42
"pemberian rekan tim yg tidak balance, coba periksa semua riwayat akun 31814913. Itu akunku, Mulai awal season sampai sekarang. Selalu dapat rekan tim yg berat. Saya lelah, Tolong untuk akun saya reset saja pertandingan season ini menjadi nol dan kembalikan ke Epic 2 mending saya push dari awal",1,2025-06-25 16:48:30
"Woiii muntun sekali sekali miya di baff lahh,masah seson ini demeg miya dikurangi kunyuk, jadi gk mod main guaaa, tolong ya demeg miya di tambah 1000 kalilipat, makasih.",5,2025-06-25 16:48:13
bagus aku suka sekali,5,2025-06-25 16:48:08
tim drak sistem Patek onngun bn Monton Mon akebey game pa genna passs bedeh epik eh,1,2025-06-25 16:48:07
GAME YG MELATIH KESABARAN 😂😂,1,2025-06-25 16:47:48
"knp main solo rank dpt temen yg baru main masih level lima, sedangkan musuh sudah level 100,moonton lol ga guna",1,2025-06-25 16:47:19
game ini mati suri,1,2025-06-25 16:46:13
hapus lah Custom vs computer nya gue sering kena prank dan itu gak enak bgt astaga,1,2025-06-25 16:45:07
gampang ngelag atau error,1,2025-06-25 16:43:59
game banyak drak sistem cape nggendong 😮‍💨,1,2025-06-25 16:43:57
padahal game udah bagus malah banyak yang di ubah makin gk jelas gua user mage di kasi roam mulu balikin kaya dlu lagi kita aja yang milihnya mau mid apa roam dasar dungu,1,2025-06-25 16:43:52
lawan gak seimbang tier baru master rasa lawan glory game gajelas baru 2 hari donload uninstall lagi kecewa,2,2025-06-25 16:43:51
"Kalah 7 kali langsung uninstal gk pikir panjang, pindah game sebelah",1,2025-06-25 16:42:53
kenapa setiam sudah mau menang selalu ngelag ya? dan juga kenapa klo saya main dapat nya musuj yg susah ya,1,2025-06-25 16:42:48
"mobile legends yang sekarang semakin tidak seru karna di matchingnya kita selalu diberikan tim yang tidak sesuai dan melawan lawan yang lebih kuat bahkan dalam tim selalu ada yang feeder dan afk,itulah mengapa banyak player yang memutuskan berhenti bermain ,mohon game nya diperbaiki saya mohon montoon mohon serius dalam mengurus hal seperti ini berikan tim yang seimbang!!!!game aneh memberikan rekan setim seperti orang yang tidak ingin bermain,game seperti ini hapus aja dari playstore",1,2025-06-25 16:42:27
game aneh setiap update pasti nge lag terus goblokkkk perbaiki lah moonton anj,1,2025-06-25 16:41:58
game nya makin berat...udah gw uninstall gamenya...moonton makin gak jelas...pensi main ml pindah epep...moonton ktl ajg mmk suu,1,2025-06-25 16:41:57
pensi wak,5,2025-06-25 16:41:47
karna posisi menang leg kalau posisi kalah langsung gak leg tolong di perbarui,1,2025-06-25 16:41:46
setiap main solo rank pasti aja sekali menang 5 x klh dapet tim ny ngk beres semu ..,1,2025-06-25 16:40:56
Game KONTOOL ABS TURUN SEASON DPT TIM KEK KONTOOOL,1,2025-06-25 16:39:04
gamanih menang skali main k2 y sinyal ilang ga jelas bngt jdi ongm coba game lain,1,2025-06-25 16:38:23
